COD_DISTRI,NOM_DISTRI,DIRECCION,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,ZONA,NMT_25,COMPLEMENT,Capital_Pr,Latitud,Longitud
09D01,XIMENA 1,COOP PUEBLO UNIDO AV DOMINGO COMIN Y JUAN PENDOLA,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DE,MINEDUC,SI,-2.26274518211,-79.8929821529
09D02,XIMENA 2,CALLES ARTURO SERRANO Y CARLOS GARCES ATRAS DE LA UNIDAD EDUCATIVA FISCAL FRANCISCO DE ORELLANA,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DE,MINEDUC,SI,-2.22720241322,-79.9021140193
09D03,CENTRO,AGUIRRE Y ANDRES MARIN  A LADO DE LA UNIDAD EDUCATIVA FISCAL VICENTE ROCAFUERTE,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DE,MINEDUC,SI,-2.18986257688,-79.8993419833
09D04,PORTETE,CALLE 40 ENTRE VENEZUELA Y PORTETE,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DE,MINEDUC,SI,-2.19811515737,-79.934944194
09D05,TARQUI,AV DE LAS AMERICAS S N  INTERSECCION AV PLAZA DANIN UBICACION JUNTO AL COLEGIO TECNICO SIMON BOLIVAR,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DP,MINEDUC,SI,-2.17213059709,-79.892103774
09D06,BELLAVISTA - MAPASINGUE,AV CARLOS JULIO AROSEMENA TOLA KM 3 5 VIA A DAULE,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DE,MINEDUC,SI,-2.17010289619,-79.9188605586
09D07,LOS VERGELES,COOP LOS VERGELES MZ 312 SOLAR 16 A,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DE,MINEDUC,SI,-2.09635384797,-79.909183948
09D08,MONTE SINAI,AV CASUARINA LOTIZACION INMACONSA ENTRE CALLES CEDROS Y LAURELES,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DE,SENECYT - ZONA DEPORTE,SI,-2.11756376226,-79.9401843521
09D09,CHONGON,BARRIO SAN GERONIMO MZ 449 KM 24 VIA A LA COSTA,90150,GUAYAQUIL,901,GUAYAQUIL,9,GUAYAS,8,DE,MINEDUC,SI,-2.21729521513,-80.0814384279
09D10,GOMEZ RENDON PROGRESO,KM 64 5 VIA A LA COSTA PARROQUIA JUAN GOMEZ RENDON,90152,JUAN GOMEZ RENDON (PROGRESO),901,GUAYAQUIL,9,GUAYAS,8,DE,MINEDUC,,-2.39678248456,-80.3625004781
09D23,SAMBORONDON,BOLIVAR Y 31 DE OCTUBRE,91650,SAMBORONDON,916,SAMBORONDON,9,GUAYAS,8,DE,MINEDUC,,-1.95637888864,-79.7258621874
17D01,NOROCCIDENTE,COLEGIO NANEGALITO PARQUE CENTRAL DE LA PARROQUIA CALLE PICHINCHA Y SUCRE S N,170169,NANEGALITO,1701,QUITO,17,PICHINCHA,9,DE,MINEDUC,,0.06195021748,-78.6831859958
17D02,CALDERON,COLEGIO NICOLAS JIMENEZ CALLE TOBIAS GODOY Y AV GIOVANI CALLES N3173,170155,CALDERON (CARAPUNGO),1701,QUITO,17,PICHINCHA,9,DE,MINEDUC,,-0.08409512842,-78.4232154216
